1, Arab Open University, Oman
2, Al-Buraimi University College, Oman
3, Dhofar University, Oman
4, Ibra College of Technology, Oman
5, Majan University College, Oman
6, Muscat College, Oman
7, Oman College Of Management & Technology, Oman
8, Sohar University, Oman
9, Sultan Qaboos University, Oman
10, Sur University College, Oman
11, University of Nizwa, Oman
12, Arab Open University, Oman
13, Al-Buraimi University College, Oman
14, Dhofar University, Oman
15, Ibra College of Technology, Oman
16, Majan University College, Oman
17, Muscat College, Oman
18, Oman College Of Management & Technology, Oman
19, Sohar University, Oman
20, Sultan Qaboos University, Oman
21, Sur University College, Oman
22, University of Nizwa, Oman
23, Cégep de Saint-Jérôme, Canada
24, Lambton College, Canada
25, Acadia University, Canada
26, Algonquin College, Canada
27, Ashton College, Canada
28, Assumption University, Canada
29, Athabasca University, Canada
30, Augustana University College, Canada
31, British Columbia Institute of Technology, Canada
32, British Columbia Open University, Canada
33, William and Catherine Booth College, Canada
34, Collège Boréal, Canada
35, Bow Valley College, Canada
36, Brandon University, Canada
37, Brock University, Canada
38, DeVry Institute of Technology, Canada
39, Camosun College, Canada
40, Capilano College, Canada
41, University College of the Cariboo, Canada
42, Carleton University, Canada
43, Canadian College of Business & Computers, Canada
44, Centennial College, Canada
45, Canadian Mennonite University, Canada
46, College of New Caledonia, Canada
47, Columbia College, Canada
48, Concordia University College of Alberta, Canada
49, Concordia University, Canada
50, Conestoga College, Canada
51, College of the Rockies, Canada
52, University of Moncton, Shippagan, Canada
53, University of Moncton, Edmundston, Canada
54, Dalhousie University, Canada
55, Douglas College, Canada
56, Durham College, Canada
57, Emily Carr Institute of Art + Design, Canada
58, rkwwdoundoh, Canada
59, helo f, Canada
60, First Nations University of Canada, Canada
61, George Brown College, Canada
62,  des Hautes  Commerciales, Canada
63, Humber College, Canada
64, Huron University College, Canada
65, Institut Armand-Frappier, Universit du Qubec, Canada
66, Institut National de la Recherche Scientifique, Universit du Qubec, Canada
67, Kingston College, Canada
68, Arab Open University, Oman
69, Al-Buraimi University College, Oman
70, Dhofar University, Oman
71, Ibra College of Technology, Oman
72, Majan University College, Oman
73, Muscat College, Oman
74, Oman College Of Management & Technology, Oman
75, Sohar University, Oman
76, Sultan Qaboos University, Oman
77, Sur University College, Oman
78, University of Nizwa, Oman
79, Arab Open University, Oman
80, Al-Buraimi University College, Oman
81, Dhofar University, Oman
82, Ibra College of Technology, Oman
83, Majan University College, Oman
84, Muscat College, Oman
85, Oman College Of Management & Technology, Oman
86, Sohar University, Oman
87, Sultan Qaboos University, Oman
88, Sur University College, Oman
89, University of Nizwa, Oman
90, Cégep de Saint-Jérôme, Canada
91, Lambton College, Canada
92, Acadia University, Canada
93, Algonquin College, Canada
94, Ashton College, Canada
95, Assumption University, Canada
96, Athabasca University, Canada
97, Augustana University College, Canada
98, British Columbia Institute of Technology, Canada
99, British Columbia Open University, Canada
100, William and Catherine Booth College, Canada
101, Collège Boréal, Canada
102, Bow Valley College, Canada
103, Brandon University, Canada
104, Brock University, Canada
105, DeVry Institute of Technology, Canada
106, Camosun College, Canada
107, Capilano College, Canada
108, University College of the Cariboo, Canada
109, Carleton University, Canada
110, Canadian College of Business & Computers, Canada
111, Centennial College, Canada
112, Canadian Mennonite University, Canada
113, College of New Caledonia, Canada
114, Columbia College, Canada
115, Concordia University College of Alberta, Canada
116, Concordia University, Canada
117, Conestoga College, Canada
118, College of the Rockies, Canada
119, University of Moncton, Shippagan, Canada
120, University of Moncton, Edmundston, Canada
121, Dalhousie University, Canada
122, Douglas College, Canada
123, Durham College, Canada
124, Emily Carr Institute of Art + Design, Canada
125, rkwwdoundoh, Canada
126, helo f, Canada
127, First Nations University of Canada, Canada
128, George Brown College, Canada
129,  des Hautes  Commerciales, Canada
130, Humber College, Canada
131, Huron University College, Canada
132, Institut Armand-Frappier, Universit du Qubec, Canada
133, Institut National de la Recherche Scientifique, Universit du Qubec, Canada
134, Kingston College, Canada
135, Arab Open University, Oman
136, Al-Buraimi University College, Oman
137, Dhofar University, Oman
138, Ibra College of Technology, Oman
139, Majan University College, Oman
140, Muscat College, Oman
141, Oman College Of Management & Technology, Oman
142, Sohar University, Oman
143, Sultan Qaboos University, Oman
144, Sur University College, Oman
145, University of Nizwa, Oman
146, Arab Open University, Oman
147, Al-Buraimi University College, Oman
